Код;SchoolName;Type;Level;Organization;Spec;Subject;ShortNameSchool;City;CityType;Region;Address
306;"Муниципальное бюджетное образовательное учреждение ""Средняя общеобразовательная школа №28""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа №28 г. Северодвинск;Северодвинск;город;;164505, Архангельская область, г. Северодвинск, ул. Юбилейная, д. 17
307;"Муниципальное бюджетное образовательное учреждение  ""Средняя общеобразовательная школа № 29""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа № 29 г. Северодвинск;Северодвинск;город;;164523, Архангельская область, г. Северодвинск, просп. Морской, д. 56 А
308;"Муниципальное бюджетное образовательное учреждение ""Средняя общеобразовательная школа №30""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа №30 г. Северодвинск;Северодвинск;город;;164522, Архангельская область, г. Северодвинск, ул. Коновалова, д. 3а
309;"муниципальное автономное образовательное учреждение ""Ягринская гимназия""";МАОУ;СОО;гимназия;спец;;Ягринская гимназия;Северодвинск;город;;164524, Архангельская область, г. Северодвинск, Приморский бульвар, д. 50
311;"Государственное бюджетное образовательное учреждение Архангельской области для детей сирот и детей, оставшихся без попчения родителей ""Северодвинская общеобразовательная средняя школа - интернат""";ГБОУ;СОО;школа-интернат;корр;;Северодвинская общеобразовательная средняя школа - интернат;Северодвинск;город;;164509, Архангельская область, г. Северодвинск, ул. Корабельная, д. 1
313;муниципальное  бюджетное образовательное учреждение средняя общеобразовательная школа №1 города Мирного Архангельской области;МБОУ;СОО;школа;;;Средняя общеобразовательная школа №1 города Мирного;Мирный;город;;
314;муниципальное  казённое образовательное учреждение средняя общеобразовательная школа №3 города Мирный Архангельской области;МКОУ;СОО;школа;;;Средняя общеобразовательная школа №3 города Мирный;Мирный;город;;
315;Муниципальное казённое образовательное учреждение средняя общеобразовательная школа №4 города Мирного Архангельской области;МКОУ;СОО;школа;;;Средняя общеобразовательная школа №4 г. Мирного;Мирный;город;;
316;муниципальное казённое образовательное учреждение средняя общеобразовательная школа №12 города Мирного Архангельской области;МКОУ;СОО;школа;;;Средняя общеобразовательная школа №12 города Мирного;Мирный;город;;
317;"Муниципальное  казённое образовательное учреждение ""Открытая (сменная) общеобразовательная школа № 2"" города Мирного Архангельской области";МКОУ;СОО;школа;сменная;открытая;Открытая (сменная) общеобразовательная школа № 2;Мирный;город;;
320;Новодвинский филиал Архангельского государственного технического университета;филиал;ВПО;университет;;;Новодвинский филиал Архангельского государственного технического университета;Новодвинск;город;;
357;"Государственное бюджетное образовательное учреждение среднего профессионального образования Архангельской области ""Вельский экономический техникум""";ГБОУ;СПО;техникум;;экономика;Вельский экономический техникум;Вельск;город;;
358;"государственное автономное образовательное учреждение среднего профессионального образования Архангельской области ""Вельский сельскохозяйственный техникум имени Г.И.Шибанова""";ГАОУ;СПО;техникум;;сельское хозяйство;Вельский сельскохозяйственный техникум имени Г.И.Шибанова;Вельск;город;;
361;"Государственное бюджетное образовательное учреждение среднего профессионального образования Архангельской области""Котласский медицинский техникум""";ГБОУ;СПО;техникум;;медицина;Котласский медицинский техникум;Котлас;город;;165300, Архангельская область, г. Котлас, ул. Серафимовича, д. 41
362;"Котласский филиал Федерального государственного бюджетного образовательного учреждения высшего профессионального образования""Государственный университет морского и речного флота имени адмирала С.О.Макарова""";ГБОУ;ВПО;университет;;морский;"Котласский филиал ФГБОУ ВПО ""Государственный университет морского и речного флота имени адмирала С.О.Макарова""";Котласс;город;;
369;"Государственное автономное образовательное учреждение начального профессионального образования Архангельской области""Профессиональное училище №3""";ГАОУ;НПО;училище;;;Профессиональное училище №3 г. Котлас;Котлас;город;;165300, Архангельская область, Котлас, ул. Заводская, д. 9
370;"Государственное бюджетное образовательное учреждение начального профессионального образования Архангельской области""Профессиональное училище №4""";ГБОУ;НПО;училище;;жд;Профессиональное училище №4;Вычегодский;поселок;Котласский район;
377;Государственное автономное образовательное учреждение среднего профессионального образования Няндомский железнодорожный техникум;ГАОУ;СПО;техникум;;ж/д;Няндомский железнодорожный техникум;Няндома;город;;
378;ГОУ НПО профессиональное училище №12;ГОУ;НПО;училище;;;Профессиональное училище №12 г. Онега;Онега;город;;
380;"Государственное бюджетное образовательное учреждение среднего профессионального образования Архангельской области ""Березниковский индустриальный техникум""";ГБОУ;СПО;техникум;;индустриальный;Березниковский индустриальный техникум;Березник;поселок;Виноградовский район;
381;"Государственное бюджетное образовательное учреждение среднего профессионального образования  Архангельской области  ""Архангельский - индустриально педагогический колледж""";ГБОУ;СПО;колледж;индустриально-педагогический;;Архангельский - индустриально педагогический колледж;Архангельск;город;;163012, г. Архангельск, ул. Партизанская, д. 2
386;"Государственное автономное образовательное учреждение среднего профессионального образования Архангельской области ""Котласский электромеханический техникум""";ГАОУ;СПО;техникум;;электромеханика;Котласский электромеханический техникум;Котлас;город;;165300, г. Котлас, ул.Кузнецова, д. 16а
388;ГОУ НПО профессиональное училище №22;ГОУ;НПО;училище;;;Профессиональное училище №22 г. Северодвинск;Северодвинск;город;;164515, Архангельская область, г. Северодвинск, ул. Советских Космонавтов, д.18
398;"Государственное автономное образовательное учреждение среднего профессионального образования ""Устьянский индустриальный техникум""";ГАОУ;СПО;техникум;поселок городского типа;;Устьянский индустриальный техникум;Октябрьский;поселок;Устьянский район;
409;"Государственное автономное образовательное учреждение среднего профессионального образования Архангельской области ""Вельский индустриальный техникум""";ГАОУ;СПО;техникум;;индустриальный;Вельский индустриальный техникум;Вельск;город;;
415;"Муниципальное бюджетное образовательное учреждение ""Лесозаводская средняя общеобразовательная школа""";МБОУ;СОО;школа;рабочий поселок;;Лесозаводская средняя общеобразовательная школа;Коноша;поселок;Коношский район;
416;"муниципальное бюджетное образовательное учреждение ""Открытая (сменная) общеобразовательная школа № 38”";МБОУ;СОО;школа;сменная;открытая;Открытая (сменная) общеобразовательная школа № 38 г. Северодвинск;Северодвинск;город;;164504, Архангельская область, г. Северодвинск, ул. Гагарина, д. 15
417;"Муниципальное бюджетное образовательное учреждение ""Средняя общеобразовательная школа № 36""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа № 36;Ненокса;село;Приморский район;
500;СОШ №150;ФГОУ СОШ;СОО;школа;Минобороны;;Средняя общеобразовательная школа №150 Минобороны России;Архангельск;город;Муниципальное образование «Новая Земля»;163055, г. Архангельск-55, ул. 850-летия Москвы, д. 5, войсковая часть 77510
885;"Государственное бюджетное образовательное учреждение Архангельской области для обучающихся, воспитанников с ограниченными возможностями здоровья ""Северодвинская специальная (коррекционная) общеобразовательная школа-интернат""";ГБОУ;СОО;школа-интернат;корр;;Северодвинская специальная (коррекционная) общеобразовательная школа-интернат;Северодвинск;город;;164500, Архангельская область, г. Северодвинск, ул. Капитана Воронина, д. 9
