Код;SchoolName;Type;Level;Organization;Spec;Subject;ShortNameSchool;City;CityType;Region;Address
206;"Муниципальное бюджетное образовательное учреждение муниципального образования ""Город Архангельск"" ""Общеобразовательная гимназия № 24""";МБОУ;СОО;гимназия;спец;;Общеобразовательная гимназия № 24 г. Архангельск;Архангельск;город;;163051, г. Архангельск, Октябрьский территориальный округ, ул. Тимме, д. 22, корп. 3
207;"Муниципальное бюджетное образовательное учреждение муниципального образования ""город Архангельск""""Общеобразовательная гимназия № 25""";МБОУ;СОО;гимназия;спец;;Общеобразовательная гимназия № 25 г. Архангельск;Архангельск;город;;163065, г. Архангельск, территориальный округ Майская горка, просп. Московский, д. 43, корп. 2
208;"Муниципальное бюджетное образовательное учреждение муниципального образования ""Город Архангельск""""Средняя общеобразовательная школа № 26""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа № 26 г. Архангельск;Архангельск;город;;163057, г. Архангельск, территориальный округ Варавино-Фактория, ул. Воронина, д. 37, корп. 4
209;"Муниципальное бюджетное образовательное учреждение муниципального образования ""Город Архангельск""""Средняя общеобразовательная школа № 27""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа № 27 г. Архангельск;Архангельск;город;;163016, г. Архангельск, территориальный округ Варавино-Фактория, ул. Кирова, д. 7
210;"Муниципальное бюджетное образовательное учреждение муниципального образования ""Город Архангельск""""Средняя общеобразовательная школа № 28""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа № 28 г. Архангельск;Архангельск;город;;163057, г. Архангельск, территориальный округ Варавино-Фактория, ул. Воронина, д. 27
211;"муниципальное бюджетное образовательное учреждение муниципального образования ""Город Архангельск""""Средняя общеобразовательная школа № 30""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа № 30 г. Архангельск;Архангельск;город;;163030, г. Архангельск, территориальный округ Варавино-Фактория, ул. Квартальная, д. 10
212;"муниципальное бюджетное образовательное учреждение муниципального образования ""Город Архангельск""""Архангельская средняя общеобразовательная школа Соловецких юнг""";МБОУ;СОО;школа;спец;морской;Архангельская средняя общеобразовательная школа Соловецких юнг;Архангельск;город;;163065, г. Архангельск, территориальный округ Майская горка, ул. Прокопия Галушина, д. 25, корп. 1
213;"Муниципальное бюджетное образовательное учреждение муниципального образования ""Город Архангельск""""Средняя общеобразовательная школа № 33""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа № 33 г. Архангельск;Архангельск;город;;163051, г. Архангельск, Ломоносовский территориальный округ, ул. 23-й Гвардейской дивизии, д. 9
214;"Муниципальное бюджетное образовательное учреждение муниципального образования ""Город Архангельск""""Средняя общеобразовательная школа № 34""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа № 34 г. Архангельск;Архангельск;город;;163039, г. Архангельск, Исакогорский территориальный округ, ул. Клепача, д. 3
215;"Муниципальное бюджетное образовательное учреждение муниципального образования ""Город Архангельск""""Средняя общеобразовательная школа № 35""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа № 35 г. Архангельск;Архангельск;город;;163009, г. Архангельск, Майская горка, ул. Ф. Абрамова, д. 14
216;"Муниципальное бюджетное образовательное учреждение муниципального образования ""Город Архангельск""""Средняя общеобразовательная школа № 36""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа № 36 г. Архангельск;Архангельск;город;;163002, г. Архангельск, Ломоносовский территориальный округ, ул. Смольный Буян, д. 18, корп. 2
