ОУ;число сдававших;позиция ср.балл;средний балл;число проваливших;процент проваливших;рейтинг по успешности;число юношей;средний балл юношей;число девушек;средний балл девушек
214;4;105;51.0;0;0.0;3;1;60.0;3;47.0
226;3;106;50.0;0;0.0;70;0;0.0;3;50.0
316;5;107;50.0;0;0.0;55;3;51.0;2;50.0
205;7;108;50.0;0;0.0;153;4;53.0;3;47.0
24;1;109;50.0;0;0.0;12;0;0.0;1;50.0
30;1;110;50.0;0;0.0;92;1;50.0;0;0.0
153;2;111;50.0;1;50.0;204;0;0.0;2;50.0
60;5;112;50.0;1;20.0;183;0;0.0;5;50.0
284;4;113;50.0;0;0.0;24;1;42.0;3;52.0
120;4;114;50.0;0;0.0;28;0;0.0;4;50.0
168;3;115;50.0;0;0.0;119;0;0.0;3;50.0
1;12;116;50.0;1;8.0;170;4;45.0;8;52.0
222;13;117;49.0;1;8.0;167;5;51.0;8;48.0
207;9;118;49.0;0;0.0;68;1;47.0;8;50.0
163;1;119;49.0;0;0.0;23;1;49.0;0;0.0
161;1;120;49.0;0;0.0;36;1;49.0;0;0.0
186;4;121;49.0;0;0.0;113;1;57.0;3;46.0
43;1;122;49.0;0;0.0;144;0;0.0;1;49.0
215;13;123;49.0;3;23.0;187;5;48.0;8;49.0
293;3;124;49.0;0;0.0;48;0;0.0;3;49.0
103;2;125;49.0;0;0.0;86;1;62.0;1;35.0
13;2;126;49.0;0;0.0;127;0;0.0;2;49.0
320;2;127;49.0;0;0.0;147;1;63.0;1;34.0
270;9;128;48.0;0;0.0;126;6;51.0;3;43.0
53;12;129;48.0;1;8.0;168;7;44.0;5;53.0
140;16;130;48.0;2;13.0;175;3;30.0;13;52.0
251;7;131;48.0;0;0.0;105;2;57.0;5;44.0
191;10;132;48.0;2;20.0;181;6;40.0;4;59.0
165;3;133;48.0;0;0.0;66;1;47.0;2;48.0
206;9;134;48.0;0;0.0;155;3;62.0;6;40.0
294;5;135;48.0;0;0.0;46;0;0.0;5;48.0
276;5;136;48.0;0;0.0;61;3;47.0;2;49.0
296;1;137;47.0;0;0.0;44;0;0.0;1;47.0
81;1;138;47.0;0;0.0;64;1;47.0;0;0.0
37;5;139;47.0;0;0.0;93;1;51.0;4;46.0
252;4;140;47.0;0;0.0;97;1;36.0;3;51.0
16;1;141;47.0;0;0.0;129;1;47.0;0;0.0
283;9;142;47.0;1;11.0;174;2;38.0;7;49.0
314;9;143;46.0;0;0.0;56;5;43.0;4;50.0
201;14;144;46.0;2;14.0;177;7;44.0;7;48.0
104;4;145;46.0;1;25.0;188;2;42.0;2;50.0
210;19;146;45.0;5;26.0;192;9;41.0;10;48.0
174;1;147;45.0;0;0.0;67;0;0.0;1;45.0
3;12;148;45.0;1;8.0;169;7;44.0;5;46.0
885;1;149;45.0;0;0.0;134;0;0.0;1;45.0
228;6;150;45.0;0;0.0;121;1;52.0;5;43.0
304;1;151;44.0;0;0.0;78;1;44.0;0;0.0
221;3;152;44.0;0;0.0;116;2;37.0;1;58.0
97;10;153;43.0;1;10.0;173;4;49.0;6;40.0
269;7;154;43.0;2;29.0;193;4;52.0;3;31.0
69;1;155;43.0;0;0.0;35;0;0.0;1;43.0
63;1;156;43.0;0;0.0;41;0;0.0;1;43.0
173;4;157;43.0;0;0.0;69;0;0.0;4;43.0
105;3;158;43.0;0;0.0;89;1;38.0;2;46.0
41;11;159;43.0;0;0.0;146;4;43.0;7;43.0
84;2;160;43.0;0;0.0;148;1;45.0;1;41.0
9;5;161;43.0;0;0.0;149;2;42.0;3;44.0
17;7;162;43.0;1;14.0;176;1;41.0;6;43.0
219;3;163;43.0;0;0.0;7;1;41.0;2;44.0
236;5;164;43.0;1;20.0;185;2;51.0;3;37.0
98;1;165;42.0;0;0.0;118;0;0.0;1;42.0
231;1;166;42.0;0;0.0;140;1;42.0;0;0.0
42;5;167;42.0;1;20.0;186;2;49.0;3;38.0
204;7;168;42.0;0;0.0;154;1;48.0;6;41.0
298;2;169;42.0;0;0.0;42;2;42.0;0;0.0
175;2;170;42.0;0;0.0;104;2;42.0;0;0.0
182;2;171;42.0;1;50.0;203;0;0.0;2;42.0
212;2;172;41.0;0;0.0;4;1;42.0;1;40.0
26;1;173;41.0;0;0.0;14;0;0.0;1;41.0
86;1;174;41.0;0;0.0;65;0;0.0;1;41.0
