ОУ;число сдававших;позиция ср.балл;средний балл;число проваливших;процент проваливших;рейтинг по успешности;число юношей;средний балл юношей;число девушек;средний балл девушек
19;1;18;80.0;0;0.0;128;0;0.0;1;80.0
60;1;17;80.0;0;0.0;96;0;0.0;1;80.0
247;1;16;80.0;0;0.0;82;0;0.0;1;80.0
281;10;15;80.0;0;0.0;22;3;75.0;7;82.0
1;7;14;81.0;0;0.0;151;0;0.0;7;81.0
4;12;13;82.0;0;0.0;21;4;84.0;8;81.0
61;1;12;83.0;0;0.0;97;1;83.0;0;0.0
173;1;11;83.0;0;0.0;71;0;0.0;1;83.0
242;24;10;83.0;0;0.0;85;9;77.0;15;87.0
295;4;9;84.0;0;0.0;44;3;79.0;1;98.0
309;16;8;85.0;0;0.0;75;10;85.0;6;85.0
169;1;7;86.0;0;0.0;173;1;86.0;0;0.0
74;1;6;86.0;0;0.0;167;0;0.0;1;86.0
500;1;5;86.0;0;0.0;115;1;86.0;0;0.0
416;1;4;89.0;0;0.0;38;0;0.0;1;89.0
135;1;3;89.0;0;0.0;8;0;0.0;1;89.0
314;2;2;92.0;0;0.0;129;0;0.0;2;92.0
191;1;1;98.0;0;0.0;53;0;0.0;1;98.0
