ОУ;число сдававших;позиция ср.балл;средний балл;число проваливших;процент проваливших;рейтинг по успешности;число юношей;средний балл юношей;число девушек;средний балл девушек
84;18;105;65.0;1;6.0;254;8;59.0;10;70.0
202;59;106;65.0;0;0.0;209;22;62.0;37;67.0
59;2;107;65.0;0;0.0;43;1;67.0;1;63.0
47;4;108;65.0;0;0.0;228;1;84.0;3;59.0
221;35;109;65.0;0;0.0;168;15;64.0;20;66.0
139;17;110;65.0;0;0.0;14;6;68.0;11;63.0
266;28;111;65.0;0;0.0;37;6;65.0;22;65.0
175;10;112;65.0;0;0.0;136;7;64.0;3;66.0
159;44;113;65.0;0;0.0;187;12;62.0;32;66.0
180;27;114;65.0;0;0.0;144;14;60.0;13;70.0
131;8;115;65.0;0;0.0;12;4;68.0;4;62.0
3;35;116;65.0;0;0.0;88;19;62.0;16;68.0
252;30;117;65.0;0;0.0;124;14;64.0;16;65.0
231;21;118;65.0;0;0.0;195;11;59.0;10;70.0
172;6;119;65.0;0;0.0;87;1;51.0;5;67.0
149;2;120;65.0;0;0.0;217;1;76.0;1;53.0
212;24;121;64.0;0;0.0;4;12;59.0;12;70.0
103;6;122;64.0;0;0.0;109;2;69.0;4;62.0
48;3;123;64.0;0;0.0;197;1;53.0;2;70.0
118;8;124;64.0;0;0.0;82;5;64.0;3;64.0
10;32;125;64.0;1;3.0;242;18;62.0;14;67.0
93;7;126;64.0;0;0.0;81;0;0.0;7;64.0
45;7;127;64.0;0;0.0;201;4;59.0;3;71.0
307;28;128;64.0;0;0.0;102;12;63.0;16;65.0
27;8;129;64.0;0;0.0;105;2;63.0;6;65.0
43;7;130;64.0;1;14.0;271;1;70.0;6;63.0
164;9;131;64.0;0;0.0;162;3;53.0;6;70.0
53;64;132;64.0;0;0.0;49;30;61.0;34;67.0
66;16;133;64.0;0;0.0;132;6;63.0;10;64.0
186;37;134;64.0;0;0.0;146;12;62.0;25;65.0
44;22;135;64.0;0;0.0;200;7;57.0;15;67.0
35;13;136;64.0;0;0.0;120;6;59.0;7;68.0
86;9;137;63.0;0;0.0;125;5;59.0;4;69.0
79;29;138;63.0;1;3.0;243;13;54.0;16;71.0
228;43;139;63.0;0;0.0;161;21;59.0;22;68.0
247;11;140;63.0;0;0.0;104;6;65.0;5;62.0
50;3;141;63.0;0;0.0;48;0;0.0;3;63.0
300;29;142;63.0;0;0.0;97;9;60.0;20;65.0
210;81;143;63.0;0;0.0;6;36;63.0;45;63.0
283;53;144;63.0;1;2.0;235;20;54.0;33;68.0
182;7;145;63.0;0;0.0;142;2;56.0;5;66.0
302;29;146;63.0;0;0.0;98;10;64.0;19;62.0
153;12;147;63.0;0;0.0;181;2;51.0;10;65.0
19;17;148;63.0;0;0.0;174;5;59.0;12;64.0
28;4;149;63.0;0;0.0;23;1;62.0;3;63.0
94;10;150;63.0;0;0.0;167;2;54.0;8;65.0
298;25;151;62.0;0;0.0;52;16;60.0;9;67.0
60;22;152;62.0;0;0.0;126;10;58.0;12;66.0
301;28;153;62.0;1;4.0;244;7;50.0;21;66.0
885;4;154;62.0;0;0.0;140;1;44.0;3;68.0
5;9;155;62.0;0;0.0;205;8;62.0;1;65.0
119;12;156;62.0;0;0.0;199;5;57.0;7;66.0
107;53;157;62.0;3;6.0;255;14;59.0;39;63.0
254;52;158;62.0;0;0.0;138;23;58.0;29;65.0
38;11;159;62.0;0;0.0;115;3;53.0;8;66.0
240;26;160;62.0;0;0.0;107;6;59.0;20;63.0
156;12;161;62.0;0;0.0;186;2;57.0;10;63.0
274;22;162;62.0;0;0.0;178;9;58.0;13;65.0
160;6;163;62.0;0;0.0;216;3;61.0;3;62.0
169;20;164;62.0;0;0.0;230;10;57.0;10;66.0
191;24;165;62.0;0;0.0;69;8;56.0;16;65.0
253;27;166;62.0;0;0.0;78;8;61.0;19;62.0
154;4;167;62.0;0;0.0;184;1;69.0;3;59.0
292;24;168;62.0;0;0.0;58;3;62.0;21;62.0
187;16;169;62.0;0;0.0;147;6;60.0;10;63.0
70;25;170;62.0;0;0.0;221;12;53.0;13;69.0
178;6;171;62.0;0;0.0;103;0;0.0;6;62.0
46;8;172;62.0;1;13.0;266;3;50.0;5;69.0
305;59;173;62.0;0;0.0;100;30;56.0;29;68.0
194;23;174;61.0;0;0.0;66;10;60.0;13;62.0
215;71;175;61.0;2;3.0;238;27;64.0;44;60.0
276;29;176;61.0;0;0.0;77;10;55.0;19;65.0
145;8;177;61.0;0;0.0;75;3;58.0;5;63.0
269;25;178;61.0;0;0.0;40;8;64.0;17;60.0
16;14;179;61.0;0;0.0;46;4;55.0;10;64.0
204;32;180;61.0;0;0.0;211;12;59.0;20;62.0
33;54;181;61.0;0;0.0;116;18;62.0;36;60.0
72;6;182;61.0;0;0.0;219;3;58.0;3;64.0
417;7;183;61.0;0;0.0;89;2;64.0;5;59.0
75;41;184;61.0;1;2.0;236;20;58.0;21;63.0
286;22;185;60.0;0;0.0;32;9;56.0;13;64.0
209;25;186;60.0;0;0.0;214;10;57.0;15;63.0
163;8;187;60.0;1;13.0;265;4;53.0;4;68.0
67;9;188;60.0;0;0.0;133;4;62.0;5;59.0
17;25;189;60.0;0;0.0;172;6;54.0;19;62.0
